epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.533,1.48305,2.47385,1.27784,0.45539,0.45776,0.47269,0.29224,1.41826,1.95943,1.18848,0.000332808,0.000332808,0.000332808
2,363.763,1.40095,1.71628,1.2234,0.71336,0.52398,0.64969,0.40405,1.38067,1.40376,1.18784,0.000652951,0.000652951,0.000652951
3,538.559,1.39453,1.46018,1.22217,0.73491,0.59593,0.72101,0.46064,1.29304,1.1469,1.13985,0.000959895,0.000959895,0.000959895
4,716.691,1.34497,1.29572,1.20362,0.81255,0.66711,0.79132,0.47991,1.32647,1.00959,1.1857,0.0009406,0.0009406,0.0009406
5,892.409,1.32781,1.1863,1.18632,0.85274,0.66359,0.78497,0.46021,1.41401,0.94022,1.22972,0.0009208,0.0009208,0.0009208
6,1068.69,1.30863,1.1151,1.18362,0.87275,0.72163,0.84929,0.51234,1.32978,0.8324,1.18338,0.000901,0.000901,0.000901
7,1243.5,1.28572,1.0574,1.16823,0.86164,0.72294,0.83953,0.51033,1.32642,0.82367,1.1771,0.0008812,0.0008812,0.0008812
8,1418.59,1.26709,1.00818,1.1598,0.86914,0.72732,0.84767,0.49726,1.39186,0.82306,1.24393,0.0008614,0.0008614,0.0008614
9,1592.95,1.26195,0.98689,1.1572,0.88149,0.75299,0.87541,0.55719,1.24143,0.72986,1.12473,0.0008416,0.0008416,0.0008416
10,1770.03,1.24988,0.95766,1.15078,0.90648,0.76052,0.88444,0.56945,1.20914,0.70213,1.10747,0.0008218,0.0008218,0.0008218
11,1946.5,1.22019,0.93391,1.14479,0.9129,0.77985,0.89115,0.57725,1.19786,0.66936,1.09758,0.000802,0.000802,0.000802
12,2121.85,1.2293,0.91806,1.13671,0.90622,0.78617,0.89205,0.59342,1.1518,0.65697,1.06306,0.0007822,0.0007822,0.0007822
13,2298.22,1.22736,0.90883,1.14032,0.90886,0.78623,0.90175,0.58544,1.17397,0.64832,1.07703,0.0007624,0.0007624,0.0007624
14,2474.19,1.19986,0.88476,1.12637,0.91263,0.78673,0.89926,0.59301,1.16513,0.64509,1.07216,0.0007426,0.0007426,0.0007426
15,2704.19,1.20201,0.87615,1.12103,0.91961,0.78883,0.89795,0.56029,1.25314,0.65894,1.14588,0.0007228,0.0007228,0.0007228
16,2918.36,1.17721,0.84283,1.11325,0.92375,0.786,0.90083,0.58456,1.19949,0.62898,1.09617,0.000703,0.000703,0.000703
17,3111.17,1.18377,0.84868,1.11661,0.92736,0.79522,0.90492,0.60195,1.13116,0.61248,1.04944,0.0006832,0.0006832,0.0006832
